,District,Conf,Act,Rec,Des
408,Bhopal,0,0,0,0
409,Burhanpur,0,0,0,0
410,Chhatarpur,0,0,0,0
411,Chhindwara,0,0,0,0
412,Damoh,0,0,0,0
413,Datia,0,0,0,0
414,Dewas,0,0,0,0
415,Dhar,0,0,0,0
416,Dindori,0,0,0,0
417,Guna,0,0,0,0
418,Gwalior,0,0,0,0
419,Harda,0,0,0,0
420,Hoshangabad,0,0,0,0
421,Indore,0,0,0,0
422,Jabalpur,0,0,0,0
423,Jhabua,0,0,0,0
424,Katni,0,0,0,0
425,Khandwa,0,0,0,0
426,Khargone,0,0,0,0
427,Mandla,0,0,0,0
428,Mandsaur,0,0,0,0
429,Morena,0,0,0,0
430,Narsinghpur,0,0,0,0
431,Neemuch,0,0,0,0
432,Niwari,0,0,0,0
433,Other Region,0,0,0,0
434,Panna,0,0,0,0
435,Raisen,0,0,0,0
436,Rajgarh,0,0,0,0
437,Ratlam,0,0,0,0
438,Rewa,0,0,0,0
439,Sagar,0,0,0,0
440,Satna,0,0,0,0
441,Sehore,0,0,0,0
442,Seoni,0,0,0,0
443,Shahdol,0,0,0,0
444,Shajapur,0,0,0,0
445,Sheopur,0,0,0,0
446,Shivpuri,0,0,0,0
447,Sidhi,0,0,0,0
448,Singrauli,0,0,0,0
449,Tikamgarh,0,0,0,0
450,Ujjain,0,0,0,0
451,Umaria,0,0,0,0
452,Vidisha,0,0,0,0
453,Aizawl,0,0,0,0
454,Champhai,0,0,0,0
455,Hnahthial,0,0,0,0
456,Khawzawl,0,0,0,0
457,Kolasib,0,0,0,0
458,Lawngtlai,0,0,0,0
459,Lunglei,0,0,0,0
460,Mamit,0,0,0,0
461,Saiha,0,0,0,0
462,Saitual,0,0,0,0
463,Serchhip,0,0,0,0
464,Others,0,0,0,0
465,Dimapur,0,0,0,0
466,Kiphire,0,0,0,0
467,Kohima,0,0,0,0
468,Longleng,0,0,0,0
469,Mokokchung,0,0,0,0
470,Mon,0,0,0,0
471,Peren,0,0,0,0
472,Phek,0,0,0,0
473,Tuensang,0,0,0,0
474,Wokha,0,0,0,0
475,Zunheboto,0,0,0,0
476,Unknown,0,0,0,0
477,Others,0,0,0,0
478,Angul,0,0,0,0
479,Balangir,0,0,0,0
480,Balasore,0,0,0,0
481,Bargarh,0,0,0,0
482,Bhadrak,0,0,0,0
483,Boudh,0,0,0,0
484,Cuttack,0,0,0,0
485,Deogarh,0,0,0,0
486,Dhenkanal,0,0,0,0
487,Gajapati,0,0,0,0
488,Ganjam,0,0,0,0
489,Jagatsinghpur,0,0,0,0
490,Jajpur,0,0,0,0
491,Jharsuguda,0,0,0,0
492,Kalahandi,0,0,0,0
493,Kandhamal,0,0,0,0
494,Kendrapara,0,0,0,0
495,Kendujhar,0,0,0,0
496,Khordha,0,0,0,0
497,Koraput,0,0,0,0
498,Malkangiri,0,0,0,0
499,Mayurbhanj,0,0,0,0
500,Nabarangapur,0,0,0,0
501,Nayagarh,0,0,0,0
502,Nuapada,0,0,0,0
503,Puri,0,0,0,0
504,Rayagada,0,0,0,0
505,Sambalpur,0,0,0,0
